locality,status,auto_quality,last_model_run,last_update,n_images,n_labeled
balkh-alakol_Ayagoz_KZ_25,,,,2025-11-14 18:12:09,19,21
balkh-alakol_Karakol_KZ_25,,,,2025-11-14 18:12:09,13,14
balkh-alakol_Lepsy_KZ_25,MANUAL,,,2025-11-14 18:12:09,11,11
baltsea-east_isetensis-Sitnya_RU_25,,,,2025-11-14 18:12:09,20,8
ob-altay_Belokurikha_RU_25,MANUAL,,,2025-11-14 18:12:09,11,11
ob-altay_Bol_Terekta_RU_25,,,,2025-11-14 18:12:09,15,0
ob-altay_Chaganka_RU_25,MANUAL,,,2025-11-14 18:12:09,29,29
ob-altay_Jumaly_RU_25,,,,2025-11-14 18:12:09,31,0
ob-altay_Kamenka_RU_25,,,,2025-11-14 18:12:09,11,0
ob-altay_Kan_RU_25,,,,2025-11-14 18:12:09,38,0
ob-altay_Katun_Nizh-Ujmon_RU_25,,,,2025-11-14 18:12:09,21,0
ob-altay_Kubardu_RU_25,,,,2025-11-14 18:12:09,11,0
ob-altay_Nizh-Kalmanka_RU_25,,,,2025-11-14 18:12:09,8,0
ob-altay_Shipunikha_RU_25,,,,2025-11-14 18:12:09,13,0
ob-altay_Talovka_RU_25,,,,2025-11-14 18:12:09,13,0
ob-altay_Ursul_RU_25,,,,2025-11-14 18:12:09,8,0
ob-altay_Usay_RU_25,,,,2025-11-14 18:12:09,55,0
ob-irtysh_Abylaikit_KZ_25,,,,2025-11-14 18:12:09,20,0
ob-irtysh_Bol-Kamenka_RU_25,,,,2025-11-14 18:12:09,27,0
ob-irtysh_Kalzhir_RU_25,,,,2025-11-14 18:12:09,7,0
ob-irtysh_Kendirlik_KZ_25,,,,2025-11-14 18:12:09,24,0
ob-irtysh_Kurchum_KZ_25,,,,2025-11-14 18:12:09,12,0
ob-irtysh_Sht-Terekty_KZ_25,,,,2025-11-14 18:12:09,16,0
ob-irtysh_Tainty_KZ_25,,,,2025-11-14 18:12:09,33,0
turk-west_abanticus-Abant_TR_25,,,,2025-11-14 18:12:09,10,0
turk-west_kottelati-Uludere_TR_25,,,,2025-11-14 18:12:09,21,0
turk-west_radeki-Buyuk_TR_25,,,,2025-11-14 18:12:09,16,0
turk-west_strandjae-Balabandere_TR_25,,,,2025-11-14 18:12:09,17,0
volga-kama_isetensis-Barmysh_RU_25,,,,2025-11-14 18:12:09,9,0
volga-kama_isetensis-Berezovaya_RU_25,,,,2025-11-14 18:12:09,30,0
volga-kama_isetensis-Bui_RU_25,,,,2025-11-14 18:12:09,27,0
volga-kama_isetensis-Koyva_RU_25,,,,2025-11-14 18:12:09,21,0
volga-mid_isetensis-Polpota_RU_25,,,,2025-11-14 18:12:09,22,0
volga-mid_isetensis-Yulovka_RU_25,,,,2025-11-14 18:12:09,9,0
volga-up_isetensis-Pes_RU_25,,,,2025-11-14 18:12:09,15,0
